﻿id,Tweet,Dialect
46,"""هو ازاي ليه بتعملوا كده هو انا بس اللي بشوفها شيء مقزز الجلد جميل ليه بتشوهوه""",Egyptian
47,"""في اوربا مافيس حاجه اسمها مدير كوره وشخص يقعد علي الدكه جمب المدرب اامدير الفني المسءول عن الف""",Egyptian
48,"""هو ازاي ليه بتعملوا كده هو انا بس اللي بشوفها شيء مقزز الجلد جميل ليه بتشوهوه""",Egyptian
49,"""الاقيها عند فءاد عالفرش دي""",Egyptian
50,"""الجون التاني بتاع ابراهام كان عشان معروف ان بيدخل فينا جون اول دقيقه في الشوط الاول يا لامبارد""",Egyptian
51,"""بلاش تحكي لحد حاجه تعباك لانك هتصعب عليه النهارده وبكره هو يجي عليك وتشوف غيره تحكيله بلاش تثق في اي حد مجرد ما شو""",Egyptian
52,"""انتي بتكتبي موتس ليه يعني هي غلطه ولا انتي بتكتبيها كدا انا ساعات بتروشن اه وبكتبها كده""",Egyptian
53,"""ويا سلام اما يبقي فلفل اسود حصي واقرقشه""",Egyptian
54,"""مش تقولوا يا جماعه انها دايره تعريص""",Egyptian
55,"""اعتقد انه هيكون ماتش بضان فشخ وتوتنهام هيكسب علشان ايمري مدرب علق وجبان فشخ""",Egyptian
56,"""ياعم ايه الاوڤر ده كيرلوس فرح اخوه كمان شويه ولسه يابب لابوه الدين مرتين دلوقتي وواخدين بعض بالاحصان""",Egyptian
57,"""علميا انا بحب التيكني كالار وبحب البس شنط لونها مش نفس لون اللبس عمليا كل شنطي اتقطعت وماتبقاش غير دي""",Egyptian
58,"""بعت ديبروين وجيمس عشان اجيب ماني""",Egyptian
59,"""انا بحب المواقف اللي مش مترتبه و ال والهدايا الصغيره اللي بتيجي من غير مناسبه الاغاني الل""",Egyptian
60,"""اراء ولولا اختلاف الاراء مكنش حصل حاجه برضه""",Egyptian
61,"""مانويل جوزيه لما درب الاهلي مكنش مدرب كبير ومشهور ومكنش يملك سيره ذاتيه قويه بس كان طموح وعايز ينجح ونجح وبقي اسطور""",Egyptian
62,"""اول مره اعرف الكلام دا انتي خبيره في تويتر بقي""",Egyptian
63,"""من اغرب الاشياء التم ارتداءها في المطار يونغ جاي من كان لابس حذاءين مختلفين يا تري ذا الاستايل ولا هو تلخبط ب""",Egyptian
64,"""اسد ي عقبه كفايه بقي عشان الحسد""",Egyptian
65,"""رينيهفايلر ارقام فايلر وتاريخه مش مبشرين بس خلينا نشوف هيحصل ايه دي اخر فرصه لمجلس اداره الخطيب انه يكسب افريقيا""",Egyptian
66,"""عشان يكون العصفوره بتاع الخطيب""",Egyptian
67,"""خلاص بلاها ريكوردات علشان متوهاش من الاول وخلاص شكرا يا ساره""",Egyptian
68,"""عشان نحس بالعجز والقرف""",Egyptian
69,"""مبجبرش حد يتكلم معايا ولا بفرض نفسي علي حدانا لو كلمتك وحسيت نفسي تقيل عليك ببعد عشان مبحبش احس نفسي قليل في نظر""",Egyptian
70,"""ما انا مكنش ينفع اعمل تغيرات كتير بالسالب كده هتضطر اعمل بقي""",Egyptian
71,"""كلام سليم""",Egyptian
72,"""حبيب قلبي ي حمام والله تسلملي ي حب""",Egyptian
73,"""بيبي مش هنتجوز بجد وحياه امي هستتك حاضر""",Egyptian
74,"""الو اقفل ف شبكه مش سامعك""",Egyptian
75,"""مش حلوه منك تبقيمسلم ويبقي لون وشك حزين دا النبي قالك ابتسم وربك قال وبشر الصابرين""",Egyptian
76,"""طبعا زهقت مني مش سايبالك تويته""",Egyptian
77,"""ايوا منا مكنتش فاهم ليه بردو""",Egyptian
78,"""ايه الحلاوه دي بس يا بوب اللهم بارك يارب""",Egyptian
79,"""انا بحبهم جدا والله بس منتش روش والله لما تنزلو وتعرف ان الي ادامك د بيخاف وتجريه وراه لانت كدا روش ولا الارقا""",Egyptian
80,"""شركه النصر للمراجل و الاوعيه البخاريه بقريه منيل شيحه مركز ابو النمرس ارجو من حضرتك انك تلقي نظره عل""",Egyptian
81,"""كوفته بتعالج الايدز والسرطان وكل الفيروسات و ما يستجد من فيروسات و حقك عليه وانا كداب مفي""",Egyptian
82,"""ساعات ليه""",Egyptian
83,"""هو ده دعايا""",Egyptian
84,"""بس يا ماما ده انتي نسيتي المفاتيح ع التربيزه والباريستا قعد ينادي عليكي ربع ساعه""",Egyptian
85,"""هو ازاي حد شغله كله بيعتمد علي والقبول يبقي مكروه من كل الناس بالطريقه دي ريهامسعيد""",Egyptian
86,"""هروق عليك متقلقش اذا كان كده ماشي""",Egyptian
87,"""حقيقه عوده بي اوت كيو من الاخر عشان الهبيده""",Egyptian
88,"""نفسي في شخص يتعامل معايا من غير مايكون بيسد فراغ او هياخد منفعه معنويه من ورا تعامله معايا حد ثابت يشوف وجودي اساس""",Egyptian
89,"""عشان قبل كده كان بيتقال ان هي عيب جيني فدي مش حاجه المثليين بيقدروا يتحكموا فيها فكاننا مثلا بنحاسب واحد ع""",Egyptian
90,"""محصلش انا مش لدرجه الدحيحه""",Egyptian
91,"""ليه في ناس اخدين مكان ميستحقهوش بالرغم من ان في ناس تعبت كتير عشان توصل المكان دا و برضو موصلوش""",Egyptian
92,"""بنت خالتي عندها سنين لقت جنيه و جايلي مبسوطه قولتلها دي بتاعتي بالاماره هتلاقي مكتوب عليه ماءه جنيها صدقت و ا""",Egyptian
93,"""يستاهل علشان يبطل تخاريف""",Egyptian
94,"""ع فكره والله انا عامل شير لنفس التويته دي بس ع الفيس من حوالي ساعات""",Egyptian
95,"""اول واحده مش اوي والباقي ترو""",Egyptian
96,"""ربنا يحميكم يارب طب انا هعرف ام محمد بكدا""",Egyptian
97,"""الجروب دا هيدخلنا النار حدف كدا""",Egyptian
98,"""لا دي مينفعش تاكلها غير انت وهدومك والصراحه باكلها وانا مش لابس اي حاجه من فوق عشان بتبقع""",Egyptian
99,"""يظهر ان الست بقي لازم تقول علي نفسها اله وتعمل لها دين و انبيا عشان يبداو يحترموها""",Egyptian
100,"""ده مش ولا حاجه بس الحق يقال احلي وانضف مياه في مصر احلي من الساحل وسيدي عبدالرحمن اللي هما يعني تنانين المياه الحلوه""",Egyptian
101,"""صاحبي ابو دماغ مش يمين خالص متصاحبناش غير الاجازه دي بس بحبك والله ومبسوطه اني بعرف اتفاهم معاكي فعلا ربنا يوفقك ونفضل صحاب علطول""",Egyptian
102,"""""",Egyptian
103,"""امي دايما صح مشاعرها صح رايها صح رءيتها صح حدسها للمواقف صح و مهما كنت مش مقتنع في اوقات بكلامها بت""",Egyptian
104,"""ادخل يخويا و لو طب متشيلكش ف عنيها انا اشيلك ف عنيا""",Egyptian
105,"""الحاجات دي بترضيني محدش يعرف حقاءق ٪ بس كل واحد فيهم له مصيبه هنا او بلوه هنا او سقطه او راي غبي اكي""",Egyptian
106,"""المذيع الداخلي بيقول ل كوتينيو وهوه خارج عشان التبديل كوتينيو""",Egyptian
107,"""براحتنا عشان صحتنا""",Egyptian
108,"""ابو تريكه اتكلم عن فلسفه لمبارد الدفاعيه انه بيدافع باخر خط بس و دي كارثه و الله يا ماجيكو لان اخر خط لا يعتمد عليه تماما""",Egyptian
109,"""حضرتك انا بعترض علي ان هذا اللفظ يخرج من حضرتك بصرف النظر عن النقطه او عدمها""",Egyptian
110,"""دا لي هوا ازي يعني مش فاهم""",Egyptian
111,"""اي مرض في الدنيا ليه علاج الا النفوس النفوس المريضه دي مابتتعالجش""",Egyptian
112,"""والله احنا من غير ربنا ولا حاجه ربنا هو اللي بيدي وهو اللي بياخد وهو اللي بيمرض وهو اللي بيشفي وهو اللي بيرزق وهو ا""",Egyptian
113,"""مش بتخانق طبعاوالله انا كسلت اعمل ايموشنز الي فهمته انك تقصدي العريس بيجيب معظم الحاجات واحنا بنجي""",Egyptian
114,"""حقيقه عوده بي اوت كيو من الاخر عشان الهبيده""",Egyptian
115,"""منا ال جنيه دول مش هيكفوني مصاريف علاج دور برد الي غيري بياخدهم جنيه""",Egyptian
116,"""يبقي انت مسمعتش ولا حفله ليه من قبل ما تتولد""",Egyptian
117,"""معرفش الحجه دي لقيتها جايبالي الصوره دي وتقولي شبهك نزلتها عالواتس كله فكرها انا""",Egyptian
118,"""مش هغلط فيكي لاني راجل والراجل اللي بجد ميردش علي بنت او ست""",Egyptian
119,"""اه اذا كان كده ماشي""",Egyptian
120,"""عشان كده السكر فيه ازمه وتسعيرته بتزيد""",Egyptian
121,"""انا عايزه اعرف العلمين دي غاليه بطريقه مبالغ فيها كده ليه ايه السبب يعني""",Egyptian
122,"""تمام كده هيزودوا بدل العدوي ل جنيه بدل ال ان شاء الله""",Egyptian
123,"""انا حزينه ع البلد دي""",Egyptian
124,"""عشان حدماانت لو غالي عنده ماكنش سابك معيط ماممكن تنام ومتقومش تاني ساعتها هيندم اوي ويعرف معني الندم مااحنا مبنحسش""",Egyptian
125,"""عادي ماما مش هتعملي حاجه""",Egyptian
126,"""حقيقه عوده بي اوت كيو من الاخر عشان الهبيده""",Egyptian
127,"""جهااد ي عباسي مبدءيا اربع ساعات بلايستيشن كتير اوي ثانيا انك تخسر كل الماتشات ومتكسبنيش ف دي حاجه غلط""",Egyptian
128,"""كل ماهينجح اكتر كل ماهيتجننوا اكتر لازم نتعود علي كده ونضحك اومال هنضحك علي مين""",Egyptian
129,"""في ناس عن العيون بتغيب و اجمل ذكريات بتسيب و تيجي سيرتهم نتبسم عشان في قلوبنا مش بتغيب""",Egyptian
130,"""عاوز اصحي ع الهاترك بتاع دوليفيو ال هو قاعد دكه اصلا هيخهيو""",Egyptian
131,"""ده انا والله ما حب القلب سواه""",Egyptian
132,"""لحظه ال بعد حاجه جميله دي صعبه اوي يا جماعه""",Egyptian
133,"""الفيخاد دي حاجه عظيمه""",Egyptian
134,"""مش مبالغه والله بس انا مقتنع تماما اني لما بحب حد محدش هيقدر يحبه قدي محدش هيقدر يستحمله ويفضل باقي عليه زي انا د""",Egyptian
135,"""عارفو مقامو""",Egyptian
136,"""بنت عم اسراءغريب البنت الوسخه اللي حرضت ابوها واخواتها عليها لحد ما قتلوها اتفوو كلنااسراءالغريب""",Egyptian
137,"""لما تكون عايز تحس انك مرتبط وكده""",Egyptian
138,"""معرفهاش والله بس شكلها حلو وبشوشه كده""",Egyptian
139,"""وراجل محترم ليه كل احترامه وليه اولاده معتقدش انهم يحبو يشوفوا الاراء السلبيه دي عن والدهم ومش عشان هو مبيحاولش يشو""",Egyptian
140,"""كل ضربات السهوم دي من العشق يا صاحبي""",Egyptian
141,"""من الطبقه الكادحه الي الطبقه العليا تعيشو وتاخدو غيرها وتتفقرو زينا وننزل احنا ننرقص في الانتخابات شماته فيكو""",Egyptian
142,"""و ايه كمان""",Egyptian
143,"""اللي مش متابعني بقي يا عمو نجيب علي الطلاج ما فايته اي حاجه علي الاطلاق""",Egyptian
144,"""مش دا مش دا""",Egyptian
145,"""ماتعاملناش مع بعض خالص بس بحبك جدا وبحترمك وبحسك انسانه طيبه وهاديه اوي""",Egyptian
146,"""مش هاين عليه يقول اسمي العلق""",Egyptian
147,"""الناس اللي بتقفل السين دي علي الواتس او تويتر بحسهم بيعملوا حاجات غلط وتجار مخدرات واسلحه""",Egyptian
148,"""نفسي في شخص يتعامل معايا من غير مايكون بيسد فراغ او هياخد منفعه معنويه من ورا تعامله معايا حد ثابت يشوف وجودي اساس""",Egyptian
149,"""ده ضايع""",Egyptian
150,"""زي المثل اللي بيقول خد اللي بتحبك ومتخدش اللي بتحبها وكان حرام اللي بحبها تحبني مثلا""",Egyptian
151,"""حبايبي انا يبنتي ليه كده""",Egyptian
152,"""نيره انتي قلبي وانا مش هسيبك""",Egyptian
153,"""الواحد يسيب الكليه والصيدليه ويروح يشتغل""",Egyptian
154,"""من خرج من داره اتقل مقداره دي حقيقه فعلا حتي في الحب""",Egyptian
155,"""لازم تتعافي نفسيا قبل ماتقرري تلبسي ايه وازايكده المرض بيشتدد اكتر""",Egyptian
156,"""عايزه البس فساتين منفوشه ويتقالي يا هانم زي ما كانوا بيقولوا عايزه اعيش جو التمانينات اللي التكنولوجيا محته""",Egyptian
157,"""والله بدعي ربنا ما يحط اي حاجه في حياتي تستدعي ان تبقي محظوظ علشان تاخدها علشان مزعلش""",Egyptian
158,"""كنت راكب من موقف الف مسكن مع سواق ميكروباص اول ماطلعنا كان مشغل اديل وايمنيم وناس كده عظمه والله وبيكلم الناس باحتر""",Egyptian
159,"""اه هو بيعترف عشان واثق ان مش هيحصله حاجه""",Egyptian
160,"""معدتي""",Egyptian
161,"""بقول للراجل النهارده انا هستقيل قاللي اقري المعوذتين في قلبك و استهدي بالله و حسيتني قاعده مع خالتي مش بكلم""",Egyptian
162,"""وانتي جدا مش كنا خارجين من شهر باين""",Egyptian
163,"""سيد عبد الحفيظ لسه في مكانه ابقوا تعالوا تفوا علي قبري لو الفريق ده عمل حاجه""",Egyptian
164,"""مش يمكن يكون بيكذب ما تفكك مني يا انون""",Egyptian
165,"""فولو رغم اني مش عارف يعني ايه فلو بس نعملو لحبيبنا""",Egyptian
166,"""عيني و انا شايفه عايزه تاني ايه قلبي و انا عارفه قالي روحي فيه""",Egyptian
167,"""الكرحه اللوس ده اسم علاج ده""",Egyptian
168,"""ما مفيش يابني فيدال و الينا مثلا ينزلو شوط تاني و بح""",Egyptian
169,"""كان مفروض توفروا فلوس الجامعات الخاصه ديه عشان تتربوا بيها""",Egyptian
170,"""يا باشا الحركه النسويه خلقت لمساواه المراه مع الرجل اللي هي اصلا مهدور حقها""",Egyptian
171,"""تقدر تتفرج علي مباره كامله لجورديولا قصدي فايلر الي اتصفي من وسط وتحكم""",Egyptian
172,"""بالظبط يعني زمان الرجاله هي اللي كانت بتخون دلوقتي الايه اتقلبت""",Egyptian
173,"""ايه ده""",Egyptian
174,"""لا هي اصلا مش محجبه لو لبست حجاب هيبقي احلا يعني""",Egyptian
175,"""انا كنت بروح اليوم ده بدموعي من كتر منا مش عايزه اروح انا نموذج حقير""",Egyptian
176,"""اناا عندي احلاا عيله في الدنيا كل حاجه بتكون مع عيلتي بتكون حلوه واحلا ايامي معشتهااش غير معاهم التجمعاا""",Egyptian
177,"""بحس اني شخصيه سهله جدا و بحب اتعامل مع الشخصيات الي شبهي لو غلطت بتاسف عادي ولو زعلانه بسامح وبعدي ولو خسرت حد هف""",Egyptian
178,"""نو دي ام يابابا كخ بابابا كخ""",Egyptian
179,"""انا من الناس اللي محتاجين يطمنوا باستمرارمحتاجه اعرف انك لسه باقي عليا وبتحبنيمحتاجه احس انك حاططني ف نفس المكانه""",Egyptian
180,"""هي دي نادره الي في دماغي ولا مش هي""",Egyptian
181,"""ده احلي ما مر في العمر و امر ما فيه الليل واخره""",Egyptian
182,"""ياريت تنقرض بس مفيش منهم امل""",Egyptian
183,"""يا كيكه انت كلامك جميل""",Egyptian
184,"""طب ادخل اقول صباح الخير وافطر والنبي""",Egyptian
185,"""انا مش هعاتبك بس مستنيك تحس""",Egyptian
186,"""في اطفال كدا م الكلاحه للي فيهم ببقي عايز اجيب وشهم نصين ب او""",Egyptian
187,"""صباح الخير هو فين الخير دا ياباشا شايفني مبسوط شايفني مرتاح شايفني رايق علشان تقولي صباح الخير""",Egyptian
188,"""المسن العلق اللي بيقعد يقولك لازم ندعم الشباب ادعمه بقي لما يرجع من الاصابه يخليك تقعد دكه""",Egyptian
189,"""نفسي في حاجات كتير جدا مستحيل تتحقق و مش من حقي اصلا بس دي الحاجات الوحيده اللي ممكن تفرحني طمعي في كرم ربنا كبير""",Egyptian
190,"""كنتي فين وكل الناس دي بتتخطب وبتتجوز كنت بفطر اي مفطرش""",Egyptian
191,"""في ناس عن العيون بتغيب واجمل ذكريات بتسيب وتيجي سيرتهم نتبسم عشان ف قلوبنا مش بتغيب عبدالوهابلنساك""",Egyptian
192,"""اي ده في اي""",Egyptian
193,"""انت هتعمل حاجه بكسمك ولا ايه""",Egyptian
194,"""انا اسفه هبوظلك التويت بس شغل ايه يا كريم""",Egyptian
195,"""انا مختارتش اكون لوحدي من فراغ انا لما وقعت ف كذا ضيقه ومشكله وتعب وكنت ف اشد احتياجي لحد جنبي وملقتش حتي اقرب الن""",Egyptian
196,"""لما اعملك حاجه حلوه مش معني كده ان عايزك تردهالي قدرها وبس""",Egyptian
197,"""كسم ده ملعب ابن وسخه""",Egyptian
198,"""اكتشفتها بالصدفه مع اختي بس ديه اكتر روايه ب ليها لو سندرا سراج عارفه قصه حياتي مش هتبقي كده""",Egyptian
199,"""يبقا الحب دا كله ف قلبي ومش فهماني دا انتي ف توهه مش هما اللي ف عالم تاني""",Egyptian
200,"""السفر""",Egyptian
201,"""عيد ميلادي السنادي جاي مع بدايه السنه الهجريه ودي حاجه جميله جدافيارب الهمني رشدي وقني شر نفسياللهم اني اسالك""",Egyptian
202,"""مش مرتاح لماتش برشلونه ده""",Egyptian
203,"""انتي شبكه مش كويسه ع فكره انا لو فاتحه من كارت فكه كان احسن من كد""",Egyptian
204,"""انا فعلا استاهل يبقي مزاجي احسن من كده""",Egyptian
205,"""انت حد مش محترك ي عباسي يانو يانو فاكر يلا تعالي عند العلامه الحمرا""",Egyptian
206,"""انا افتكرت انك كاتب تويت و كده فا دخلت رديت عليك انت و ما كنت بعرف انه بنت غير من يحيي""",Egyptian
207,"""لا هو زي القمر في كل الحالات و احتفظي بالحاجه دي لنفسك ربنا يكرمك""",Egyptian
208,"""كل اللي بينتقد ف الاداره وعلي المدرب الجديد هما هما اللي طلعوا شتموا الخطيب والاداره فتره تركي ف ياريت الاداره تاخد""",Egyptian
209,"""عن ريني فايلر مدرب الاهلي الجديد وشخصيته ومسيرته واللي حصل بالتفصيل في نادي لوزيرن ده مش مقال راي ده سرد لمسيرته""",Egyptian
210,"""انت قلبت ناعم لكرستيانو ليه كده سبحان الهادي""",Egyptian
211,"""جبتبكو ال احنا معاك مش هنافس اساسا رينيه فايلر مسيرته التدريبيه الحقيقيه بدات ف فريق ف الدرجه التانيه ف سو""",Egyptian
212,"""ايوه الاسبوع ده قصدي شوف العمال بقا ال هيسعدونا نجرب العوامه معاهم""",Egyptian
213,"""ساعات لما بنحب حد بنخاف نقوله ليقسي علينا الدنيا وحشه اوي بحسها مستكتره تشوف حد بيفرح""",Egyptian
214,"""هما اخواتنا المسلمين مش بيفرقوا اي حاجه في راس السنه الهجريهانا محدش جابلي حاجه لدلوقتي ومينفعش كده مينفعش نسيبهم""",Egyptian
215,"""نقد يا دكتوره مش نقض""",Egyptian
216,"""مفروض توفووت ال جنيه دول اللي ف السنه عشان تتربوا بيها""",Egyptian
217,"""محدش عارف نصيبه فين بس يارب اجعل نصيبي في كل حاجه حبيتها""",Egyptian
218,"""جماعه انا مش طايقه اي حد ف الدنيا بجد وعاوزه اخرج و حد يفسحني و يخليني كويسه""",Egyptian
219,"""هو في كده""",Egyptian
220,"""مفيش اصعب من موت الغفله الموت اللي بيجي من غير انذار دا اللي هو انت موجود معايا وانا مطمنه انك موجود وفجاه تختفي م""",Egyptian
221,"""فارس بيتدلع مش عايز يروح التمرين""",Egyptian
222,"""ايه الجون ده""",Egyptian
223,"""طب ايه انا معاكوا""",Egyptian
224,"""حرفيا محتاج لا يقل عن كتاب اشغل نفسي ودماغي فيهم علشان دماغي تفصل ويمكن ترتاح""",Egyptian
225,"""هو موجود مع راجي صاحبي بس مين تاني غير راجي التعامل معاه امن مافيهوش تقلبات او غدر او انانيه او صغر عقل""",Egyptian
226,"""انت ليك حق ان تقول رايك وانا لي حق وانا مقتنع بيه انا حر وانت حر بدون اساءه انا ممكن اتهمك انك بتقبض و""",Egyptian
227,"""الف سلامه عليك بلاش فون بقي خالص وريح عينك""",Egyptian
228,"""برشلونه هيضحكونا كتير الموسم ده باين""",Egyptian
229,"""واحاورها بكل صدق وابدا احدد انا عاوز اي او انا فين وعاوز اوصل ل اي انا نفس الشخص اللي كان ف ظروف اعتقال وتعذيب""",Egyptian
230,"""انا عايشه ليه""",Egyptian
231,"""الناس ليه مبتمشيش بمدا دع الخلق للخالق حاشرين نفسكو ليه ف تصرفات واراء وافكار وحلل وطبيخ غيركم انتو صراصير""",Egyptian
232,"""و مهما احاول عارفه قلبي مش هيرضي الا بيك""",Egyptian
233,"""علي اللي بيوقفك علي اللي بيعطلك والاهم انك تكون ايجابي ويكون ليك موقف مع كل حاجه قادره تمنعك من انك توصل وتحقق""",Egyptian
234,"""دفاع تشيلسي مش طبيعي""",Egyptian
235,"""فايلر معرفش ايه الفشل ده في التعاقد ليه بتغامر بمدرب اجنبي ملوش سي في محترمماله المدرب المصري""",Egyptian
236,"""احنا هاننشر الوباء كده كفايه""",Egyptian
237,"""عايز اصولها ل لاڤ يجماعه""",Egyptian
238,"""مش عارف ابطل اسمعها""",Egyptian
239,"""بالنسبالي يعني راجل داخل البيت من بابه ودبله وفرحه وسط الاهل غير كده اسمه لعب عيال""",Egyptian
240,"""هذا ليش مش سمين""",Egyptian
241,"""راح الحب انتهي زمانه""",Egyptian
242,"""هيهي يا فالفيردي امشي بقي""",Egyptian
243,"""حرفيا ده اجمل يوم في حياتي يتمني اشوفك ديما سعيد""",Egyptian
244,"""هي بتقول ايه بالظبط يعني لو ماخدناش بطوله في عهده بيبو مش حنعرف ناخد بطولات وكان كل اداراتهم نضيفه وبتاخد بطولاتهم بالحلال""",Egyptian
245,"""رياكشنه ده احنا هيطلع ميتين شكلنا""",Egyptian
246,"""مين ميشيل ياناكوني ده رجعولنا طارق سيلمان""",Egyptian
247,"""ما تجيب للرجاله صفقات ده انت رءيس خول""",Egyptian
248,"""لجنه التخطيط مش مكفيها انها جايبه اسم ضعيف والله اعلم بيه راحت مخليه سامي قمصان مساعد معاه كمان""",Egyptian
249,"""هببت ايه انا في حياتي عشان ربيع عمري يصادف فالفيردي ف برشلونه""",Egyptian
250,"""لو مجاش فينا جول منحسبش الماتش ده من حياتنا""",Egyptian
251,"""احسنت يا شيفو انا كنت زعلان منك بس بعد البوست ده بجد شابوه اللي حصل حصل خلاص ما علينا الا الدعم ثم الدعم ثم""",Egyptian
252,"""هل لو انت صحفي وشغال في قناه الاهلي كنت حتقول كده بطولوا نفاق بقي""",Egyptian
253,"""والله العظيم انا معرفش مين فايلر ده ولا عمري سمعت عنه بس انا هقف معاه وهشجعوا واشجع النادي عشان انا اتولدت علي كد""",Egyptian
254,"""يعني انا بقالي اكتر من شهر و مش شايفين ان في تقصير""",Egyptian
255,"""طب تعالي مرن انت يمكن تكون انت الفرج""",Egyptian
256,"""اللي بيشقط ده انسان واضح مع نفسه ومع غيره يستحق التكريم انما بتاع الحب والحنان ده انسان لءيم يستحق التكريم برضه""",Egyptian
257,"""فلفل ده كارثه مش عارف ازاي ميسي بيدافع عنه""",Egyptian
258,"""و برضو مش قادر افهم سف اولاد منصور علي المدرب من قبل ما يشتغل""",Egyptian
259,"""وتمت اقالته بعد اول سبع مباريات مع الفريق لانه لم يحقق الفوز غير ف مباريات بالاضافه انه ودع الابطال هبط بفريق شا""",Egyptian
260,"""مفيش ليه اي سي في قويه""",Egyptian
261,"""مفيش فايده والله""",Egyptian
